#Firmware: MS3 1.5.2 release     20211110 12:29GMT (c) JSM/KC ********
PriLevel,SecLevel,Trigger,Sync,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms
MARK 000
0.000,1.000,0.000,0.000,283.584,283.584
1.000,1.000,0.000,0.000,0.039,283.623
0.000,1.000,0.000,0.000,0.625,284.248
1.000,1.000,0.000,0.000,0.082,284.330
0.000,1.000,0.000,0.000,76.579,360.909
1.000,1.000,0.000,0.000,18.258,379.167
0.000,1.000,0.000,0.000,50.320,429.487
1.000,1.000,0.000,0.000,15.466,444.953
1.000,0.000,1.000,0.000,47.787,492.740
0.000,0.000,0.000,0.000,0.262,493.002
1.000,0.000,0.000,0.000,16.382,509.384
1.000,1.000,1.000,0.000,11.437,520.821
0.000,1.000,0.000,0.000,23.373,544.194
1.000,1.000,0.000,1.000,15.507,559.701
0.000,1.000,0.000,1.000,40.718,600.419
1.000,1.000,0.000,1.000,14.107,614.526
0.000,1.000,0.000,1.000,27.855,642.381
1.000,1.000,0.000,1.000,12.096,654.477
0.000,1.000,0.000,1.000,37.906,692.383
1.000,1.000,0.000,1.000,12.185,704.568
0.000,1.000,0.000,1.000,27.503,732.071
1.000,1.000,0.000,1.000,11.245,743.316
0.000,1.000,0.000,1.000,37.576,780.892
1.000,1.000,0.000,1.000,12.240,793.132
0.000,1.000,0.000,1.000,33.724,826.856
1.000,1.000,0.000,1.000,13.843,840.699
1.000,0.000,1.000,1.000,37.305,878.004
0.000,0.000,0.000,1.000,0.018,878.022
1.000,0.000,0.000,1.000,12.578,890.600
1.000,1.000,1.000,1.000,11.273,901.873
0.000,1.000,0.000,1.000,20.273,922.146
1.000,1.000,0.000,1.000,13.125,935.271
0.000,1.000,0.000,1.000,39.049,974.320
1.000,1.000,0.000,1.000,13.545,987.865
0.000,1.000,0.000,1.000,24.763,1012.628
1.000,1.000,0.000,1.000,10.999,1023.627
0.000,1.000,0.000,1.000,36.914,1060.541
1.000,1.000,0.000,1.000,12.160,1072.701
0.000,1.000,0.000,1.000,24.902,1097.603
1.000,1.000,0.000,1.000,10.788,1108.391
0.000,1.000,0.000,1.000,36.764,1145.155
1.000,1.000,0.000,1.000,11.934,1157.089
0.000,1.000,0.000,1.000,30.846,1187.935
1.000,1.000,0.000,1.000,13.176,1201.111
1.000,0.000,1.000,1.000,38.929,1240.040
0.000,0.000,0.000,1.000,0.082,1240.122
1.000,0.000,0.000,1.000,13.031,1253.153
1.000,1.000,1.000,1.000,9.400,1262.553
0.000,1.000,0.000,1.000,19.046,1281.599
1.000,1.000,0.000,1.000,12.834,1294.433
0.000,1.000,0.000,1.000,38.493,1332.926
1.000,1.000,0.000,1.000,13.476,1346.402
0.000,1.000,0.000,1.000,26.006,1372.408
1.000,1.000,0.000,1.000,10.801,1383.209
0.000,1.000,0.000,1.000,37.355,1420.564
1.000,1.000,0.000,1.000,11.243,1431.807
0.000,1.000,0.000,1.000,25.722,1457.529
1.000,1.000,0.000,1.000,9.804,1467.333
0.000,1.000,0.000,1.000,37.636,1504.969
1.000,1.000,0.000,1.000,12.265,1517.234
0.000,1.000,0.000,1.000,29.875,1547.109
1.000,1.000,0.000,1.000,14.153,1561.262
1.000,0.000,1.000,1.000,37.503,1598.765
0.000,0.000,0.000,1.000,0.195,1598.960
1.000,0.000,0.000,1.000,13.776,1612.736
1.000,1.000,1.000,1.000,8.308,1621.044
0.000,1.000,0.000,1.000,18.524,1639.568
1.000,1.000,0.000,1.000,11.632,1651.200
0.000,1.000,0.000,1.000,39.338,1690.538
1.000,1.000,0.000,1.000,13.345,1703.883
0.000,1.000,0.000,1.000,26.764,1730.647
1.000,1.000,0.000,1.000,10.655,1741.302
0.000,1.000,0.000,1.000,40.754,1782.056
1.000,1.000,0.000,1.000,18.397,1800.453
0.000,1.000,0.000,1.000,27.416,1827.869
1.000,1.000,0.000,1.000,20.213,1848.082
0.000,1.000,0.000,1.000,96.999,1945.081
1.000,1.000,0.000,1.000,8.180,1953.261
0.000,1.000,0.000,1.000,42.212,1995.473
1.000,1.000,0.000,1.000,2.574,1998.047
